"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Trinket","PHB'24","47","none","adventuring gear","","","","","","","When you make your character, you can roll once on the Trinkets table to gain a Tiny trinket, a simple item lightly touched by mystery. The DM might also use this table. It can help stock a room in a dungeon or fill a creature's pockets.Trinkets1d100Trinket01A mummified goblin hand02A crystal that faintly glows in moonlight03A gold coin minted in an unknown land04A diary written in a language you don't know05A brass ring that never tarnishes06An old chess piece made from glass07A pair of knucklebone dice, each with a skull symbol on the side that would normally show six pips08A small idol depicting a nightmarish creature that gives you unsettling dreams when you sleep near it09A lock of someone's hair10The deed for a parcel of land in a realm unknown to you11A 1-ounce block made from an unknown material12A small cloth doll skewered with needles13A tooth from an unknown beast14An enormous scale, perhaps from a dragon15A bright-green feather16An old divination card bearing your likeness17A glass orb filled with moving smoke18A 1-pound egg with a bright-red shell19A pipe that blows bubbles20A glass jar containing a bit of flesh floating in pickling fluid21A gnome-crafted music box that plays a song you dimly remember from your childhood22A wooden statuette of a smug halfling23A brass orb etched with strange runes24A multicolored stone disk25A silver icon of a raven26A bag containing forty-seven teeth, one of which is rotten27A shard of obsidian that always feels warm to the touch28A dragon's talon strung on a leather necklace29A pair of old socks30A blank book whose pages refuse to hold ink, chalk, graphite, or any other marking31A silver badge that is a five-pointed star32A knife that belonged to a relative33A glass vial filled with nail clippings34A rectangular metal device with two tiny metal cups on one end that throws sparks when wet35A white, sequined glove sized for a human36A vest with one hundred tiny pockets37A weightless stone38A sketch of a goblin39An empty glass vial that smells of perfume40A gemstone that looks like a lump of coal when examined by anyone but you41A scrap of cloth from an old banner42A rank insignia from a lost legionnaire43A silver bell without a clapper44A mechanical canary inside a lamp45A miniature chest carved to look like it has numerous feet on the bottom46A dead sprite inside a clear glass bottle47A metal can that has no opening but sounds as if it is filled with liquid, sand, spiders, or broken glass (your choice)48A glass orb filled with water, in which swims a clockwork goldfish49A silver spoon with an M engraved on the handle50A whistle made from gold-colored wood51A dead scarab beetle the size of your hand52Two toy soldiers, one missing a head53A small box filled with different-sized buttons54A candle that can't be lit55A miniature cage with no door56An old key57An indecipherable treasure map58A hilt from a broken sword59A rabbit's foot60A glass eye61A cameo of a hideous person62A silver skull the size of a coin63An alabaster mask64A cone of sticky black incense that stinks65A nightcap that gives you pleasant dreams when you wear it66A single caltrop made from bone67A gold monocle frame without the lens68A 1-inch cube, each side a different color69A crystal doorknob70A packet filled with pink dust71A fragment of a beautiful song, written as musical notes on two pieces of parchment72A silver teardrop earring containing a real teardrop73An eggshell painted with scenes of misery in disturbing detail74A fan that, when unfolded, shows a sleepy cat75A set of bone pipes76A four-leaf clover pressed inside a book discussing manners and etiquette77A sheet of parchment upon which is drawn a mechanical contraption78An ornate scabbard that fits no blade you have found79An invitation to a party where a murder happened80A bronze pentacle with an etching of a rat's head in its center81A purple handkerchief embroidered with the name of an archmage82Half a floor plan for a temple, a castle, or another structure83A bit of folded cloth that, when unfolded, turns into a stylish cap84A receipt of deposit at a bank in a far-off city85A diary with seven missing pages86An empty silver snuffbox bearing the inscription ""dreams"" on its lid87An iron holy symbol devoted to an unknown god88A book about a legendary hero's rise and fall, with the last chapter missing89A vial of dragon blood90An ancient arrow of elven design91A needle that never bends92An ornate brooch of dwarven design93An empty wine bottle bearing a pretty label that says, ""The Wizard of Wines Winery, Red Dragon Crush, 331422-W""94A mosaic tile with a multicolored, glazed surface95A petrified mouse96A black pirate flag adorned with a dragon's skull and crossbones97A tiny mechanical crab or spider that moves about when it's not being observed98A glass jar containing lard with a label that reads, ""Griffon Grease""99A wooden box with a ceramic bottom that holds a living worm with a head on each end of its body00A metal urn containing the ashes of a hero"
"Truth Serum","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","150 gp","A creature subjected to Truth Serum must succeed on a DC 11 Constitution saving throw or have the Poisoned condition for 1 hour. The Poisoned creature can't knowingly communicate a lie."
"Vial","PHB'24","229","none","adventuring gear","","","","","","1 gp","A Vial holds up to 4 ounces."
"Waterskin","PHB'24","229","none","adventuring gear","","","","","5 lb. (full)","2 sp","A Waterskin holds up to 4 pints. If you don't drink sufficient water, you risk dehydration."
"Whetstone","PHB'14","150","none","adventuring gear","","","","","1 lb.","1 cp",""
"White Ghost Orchid Seed","JttRC","212","none","adventuring gear","","","","","","","More rarely, the orchids produce a smaller pod holding a single white seed. Among its various magical properties, if a white seed is ground and scattered over a dead body, the body is affected by the resurrection spell. A white ghost orchid seed has no effect if consumed."
"Wildroot","ToA","205","unknown","adventuring gear","","","","","","25 gp","Introducing the juice of a wildroot into a poisoned creature's bloodstream (for example, by rubbing it on an open wound) rids the creature of the poisoned condition. Once used in this way, a wildroot loses this property."
"Witherbloom Trinket","SCC","36","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Witherbloom Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Witherbloom Trinketsd6Trinket1A black bird-shaped mask, trimmed with glowing green thread2A set of rabbit bones3A pair of thick knee-high waders, stained with muck and moss4A slimy green tentacle, which occasionally wriggles5A notebook containing waterproof paper6A necklace of five small vials, each filled with luminescent white liquid"
"Wukka Nut","ToA","205","unknown","adventuring gear","","","","","","1 gp","These fist-sized nuts grow on wukka trees, which are popular haunts for jaculi, su-monsters, and zorbos. A wukka nut rattles when shaken, causing its shell to shed bright light in a 10-foot radius and dim light for an additional 10 feet. This magical light fades after 1 minute, but shaking the nut again causes the light to reappear. If the shell of the nut is cracked open, it loses its magic."
"Wyvern Poison","DMG'24","91","none","adventuring gear, poison (injury)","","","","","","1,200 gp","A creature subjected to Wyvern Poison makes a DC 14 Constitution saving throw, taking 24 (7d6) Poison damage on a failed save or half as much damage on a successful one."
"Xen'drik Trinket","ERLW","140","none","adventuring gear","","","","","","","Trinkets from Xen'drikd8Trinket1A punched ticket for a voyage from Sharn to Stormreach2A scorpion's barb engraved with a single Elvish letter3A copper coin so big you could use it as a dinner plate4An image of an elf warrior engraved on a giant's tooth5A single page from a giant wizard's spellbook, bearing an incomplete spell6A scrap of parchment, part of a map of Stormreach7A small book titled Feersome Beests of Zendrik8A scrimshaw carving of a sahuagin"
"Yahcha","ToA","205","none","adventuring gear","","","","","","1 gp","A yahcha (pronounced YAH-chah) is a harmless, meaty beetle about the size of a human hand, which feeds on worms and maggots. It moves slowly (walking speed 10 feet) and is easy to catch. A creature with blue mist fever that eats a raw or cooked yahcha can immediately make a saving throw with advantage against that disease (see ""Diseases,"" page 40),"
"Zabou","ToA","205","none","adventuring gear","","","","","","10 gp","Zabou mushrooms feed on offal and the rotting wood of dead trees. If handled carefully, a zabou can be picked or uprooted without causing it to release its spores. If crushed or struck, a zabou releases its spores in a 10-foot-radius sphere. A zabou can also be hurled up to 30 feet away or dropped like a grenade, releasing its cloud of spores on impact. Any creature in that area must succeed on a DC 10 Constitution saving throw or be poisoned for 1 minute. The poisoned creature's skin itches for the duration. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
